年度,縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,資源教室特教,資源教室一般,資源教室代理,資源教室小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
100,宜蘭縣,17,0,1,18,7,0,2,9,0,0,0,0,0,13,0,13,0,7,0,7,0,4,0,4,0,2,0,2,0,3,0,3,56,
100,基隆市,13,1,1,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,19,
100,臺北市,0,0,0,0,2,0,0,2,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,1,2,0,3,0,5,0,5,22,
100,新北市,47,0,3,50,3,0,0,3,2,20,2,24,0,1,0,1,0,1,0,1,0,0,0,0,0,10,0,10,1,3,0,4,93,
100,桃園縣,30,0,6,36,6,0,0,6,10,5,1,16,0,3,0,3,0,3,0,3,2,0,0,2,0,3,0,3,0,12,0,12,81,
100,新竹市,18,0,3,21,3,0,0,3,2,6,0,8,2,27,0,29,0,12,0,12,0,0,0,0,0,20,0,20,1,0,0,1,94,
100,新竹縣,10,0,1,11,1,0,0,1,4,0,3,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,
100,苗栗縣,11,0,2,13,2,0,0,2,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,26,
100,臺中市,66,0,3,69,17,1,1,19,3,28,5,36,0,27,0,27,0,26,0,26,2,10,0,12,0,9,0,9,0,10,0,10,208,
100,南投縣,25,0,7,32,3,0,0,3,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,41,
100,彰化縣,42,0,3,45,12,0,1,13,0,1,0,1,0,18,0,18,0,16,0,16,0,0,0,0,0,3,0,3,1,3,0,4,100,
100,雲林縣,15,0,1,16,2,0,0,2,1,5,0,6,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,63,
100,嘉義市,6,0,0,6,1,0,0,1,0,1,0,1,0,12,0,12,0,13,0,13,1,8,0,9,0,4,0,4,0,5,0,5,51,
100,嘉義縣,4,0,1,5,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
100,臺南市,38,0,2,40,16,13,0,29,2,22,0,24,0,9,0,9,1,8,0,9,2,2,1,5,0,10,0,10,4,9,0,13,139,
100,高雄市,11,0,0,11,3,0,0,3,7,14,0,21,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,48,
100,屏東縣,17,0,14,31,3,1,1,5,2,2,3,7,0,18,0,18,1,5,0,6,0,0,0,0,0,8,0,8,1,2,0,3,78,
100,台東縣,10,0,3,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,18,
100,花蓮縣,13,0,0,13,2,1,0,3,0,0,0,0,0,6,0,6,0,8,0,8,0,0,0,0,0,0,0,0,0,9,0,9,39,
100,澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,16,
100,金門縣,5,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
100,連江縣,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
100,總計,407,1,51,459,89,16,6,111,33,112,15,160,2,180,0,182,2,103,0,105,8,24,1,33,2,82,0,84,11,83,0,94,"1,228",
101,宜蘭縣,15,0,1,16,8,0,2,10,0,0,0,0,1,12,0,13,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,57,
101,基隆市,13,1,1,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,2,0,2,21,
101,臺北市,0,0,0,0,2,0,0,2,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,23,
101,新北市,50,0,2,52,5,0,1,6,3,22,0,25,0,1,0,1,0,1,0,1,0,0,0,0,0,11,0,11,1,2,1,4,100,
101,桃園縣,31,0,5,36,7,1,0,8,10,3,5,18,0,3,0,3,0,3,0,3,2,2,0,4,0,5,0,5,0,12,0,12,89,
101,新竹市,18,0,0,18,3,0,0,3,3,4,0,7,2,24,1,27,0,18,0,18,0,0,0,0,0,18,0,18,1,0,0,1,92,
101,新竹縣,10,0,0,10,2,0,0,2,5,3,2,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23,
101,苗栗縣,11,0,0,11,2,0,0,2,1,7,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,26,
101,臺中市,68,0,3,71,17,1,1,19,6,21,6,33,0,9,0,9,0,10,0,10,2,0,0,2,0,9,0,9,0,9,0,9,162,
101,南投縣,23,0,7,30,5,0,1,6,0,0,0,0,0,3,0,3,0,2,0,2,0,0,0,0,0,3,0,3,0,0,0,0,44,
101,彰化縣,45,0,1,46,12,0,1,13,0,1,0,1,0,10,0,10,0,8,0,8,0,0,0,0,1,2,0,3,1,3,0,4,85,
101,雲林縣,15,0,1,16,2,0,0,2,3,7,4,14,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,64,
101,嘉義市,6,0,0,6,1,0,0,1,0,1,0,1,0,11,0,11,0,11,0,11,1,8,0,9,0,4,0,4,0,4,0,4,47,
101,嘉義縣,5,0,1,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
101,臺南市,38,1,2,41,16,0,1,17,4,12,0,16,0,9,0,9,1,7,0,8,3,2,0,5,0,10,0,10,4,7,0,11,117,
101,高雄市,11,0,0,11,2,0,0,2,10,12,0,22,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,48,
101,屏東縣,18,0,11,29,3,0,1,4,0,1,5,6,0,18,0,18,1,5,0,6,0,0,0,0,0,7,0,7,1,4,0,5,75,
101,台東縣,10,0,3,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,17,
101,花蓮縣,11,1,0,12,3,0,0,3,0,1,0,1,0,6,0,6,0,8,0,8,0,0,0,0,0,0,0,0,0,9,0,9,39,
101,澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,16,
101,金門縣,5,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
101,連江縣,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
101,總計,412,3,39,454,95,2,10,107,45,96,23,164,3,145,1,149,2,83,0,85,9,16,0,25,4,81,0,85,11,81,1,93,"1,162",
102,宜蘭縣,15,0,0,15,9,0,2,11,0,0,0,0,0,15,0,15,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,59,
102,基隆市,12,1,1,14,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0,3,23,
102,臺北市,0,0,0,0,1,0,1,2,0,0,0,0,0,10,0,10,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,24,
102,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,桃園縣,37,0,2,39,7,0,1,8,10,11,5,26,0,3,0,3,0,2,0,2,2,0,0,2,0,6,0,6,0,12,0,12,98,
102,新竹市,12,0,0,12,3,0,0,3,2,4,0,6,3,42,0,45,0,28,2,30,0,0,0,0,0,18,1,19,1,10,0,11,126,
102,新竹縣,11,0,0,11,2,0,0,2,5,5,2,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,26,
102,苗栗縣,12,0,1,13,2,0,0,2,2,11,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,36,
102,臺中市,68,0,4,72,21,1,0,22,6,16,13,35,0,15,0,15,0,13,0,13,2,0,0,2,0,7,0,7,0,8,0,8,174,
102,南投縣,24,0,7,31,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,43,
102,彰化縣,45,0,2,47,12,0,1,13,0,3,0,3,0,11,0,11,0,9,0,9,0,0,0,0,1,3,0,4,1,3,0,4,91,
102,雲林縣,15,0,1,16,4,0,0,4,4,9,2,15,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,68,
102,嘉義市,8,0,0,8,1,0,0,1,0,5,0,5,0,10,0,10,0,12,0,12,1,8,0,9,0,4,0,4,0,4,0,4,53,
102,嘉義縣,5,0,0,5,1,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
102,臺南市,39,1,1,41,18,0,1,19,4,14,1,19,0,11,0,11,1,10,0,11,3,2,0,5,0,10,0,10,4,7,0,11,127,
102,高雄市,12,0,0,12,3,0,0,3,11,118,6,135,0,9,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,166,
102,屏東縣,21,0,6,27,4,0,1,5,0,1,4,5,0,23,0,23,1,11,0,12,0,0,0,0,0,9,0,9,1,8,0,9,90,
102,臺東縣,11,0,1,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,17,
102,花蓮縣,13,1,1,15,3,0,0,3,0,0,0,0,0,20,0,20,0,8,0,8,0,0,0,0,0,5,0,5,0,9,0,9,60,
102,澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,17,
102,金門縣,5,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
102,連江縣,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
102,總計,374,3,28,405,102,1,7,110,44,199,38,281,3,193,0,196,2,103,2,107,9,14,0,23,4,77,1,82,11,99,1,111,"1,315",
103,宜蘭縣,16,0,0,16,9,0,0,9,0,0,0,0,0,15,0,15,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,58,
103,基隆市,13,1,0,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,19,
103,臺北市,0,0,0,0,1,0,1,2,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,23,
103,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,桃園縣,37,0,3,40,8,1,1,10,13,4,4,21,0,3,0,3,0,2,0,2,2,0,0,2,0,6,0,6,0,10,0,10,94,
103,新竹市,12,0,0,12,2,0,1,3,1,8,2,11,2,47,1,50,0,32,0,32,0,0,0,0,0,14,0,14,1,10,0,11,133,
103,新竹縣,11,0,0,11,2,0,0,2,5,3,2,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,24,
103,苗栗縣,11,0,2,13,2,0,0,2,2,22,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,48,
103,臺中市,69,0,3,72,21,0,0,21,4,14,7,25,0,13,0,13,0,13,0,13,2,0,0,2,0,5,1,6,0,9,0,9,161,
103,南投縣,25,0,7,32,5,0,0,5,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,50,
103,彰化縣,46,0,2,48,11,0,1,12,0,4,0,4,0,3,0,3,0,3,0,3,0,0,0,0,1,3,0,4,1,3,0,4,78,
103,雲林縣,16,0,0,16,3,0,0,3,3,8,4,15,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
103,嘉義市,10,0,0,10,3,0,0,3,0,6,0,6,0,10,0,10,0,10,0,10,1,8,0,9,0,4,0,4,0,4,0,4,56,
103,嘉義縣,6,0,0,6,1,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
103,臺南市,38,1,1,40,19,0,1,20,3,15,2,20,0,10,0,10,1,9,0,10,3,2,0,5,0,11,0,11,4,4,0,8,124,
103,高雄市,12,0,0,12,3,0,1,4,9,15,5,29,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,62,
103,屏東縣,20,0,7,27,3,0,1,4,0,0,5,5,0,23,0,23,1,11,0,12,0,0,0,0,0,3,0,3,1,8,0,9,83,
103,臺東縣,11,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,16,
103,花蓮縣,13,1,1,15,2,0,1,3,0,0,0,0,0,19,0,19,0,8,0,8,0,0,0,0,0,4,0,4,0,9,0,9,58,
103,澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,17,
103,金門縣,4,0,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
103,連江縣,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
103,總計,379,3,28,410,101,1,8,110,40,101,36,177,2,180,1,183,2,101,0,103,9,14,0,23,4,64,1,69,11,85,1,97,"1,172",
104,宜蘭縣,16,0,1,17,10,0,1,11,,,,,0,15,0,15,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,61,
104,基隆市,14,0,1,15,2,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,3,21,
104,臺北市,0,0,0,0,3,0,0,3,,,,,0,10,0,10,0,1,0,1,0,0,0,0,2,2,0,4,0,5,0,5,23,
104,新北市,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,桃園市,37,0,2,39,9,1,0,10,,,,,0,3,0,3,0,1,0,1,2,0,0,2,0,4,0,4,0,8,0,8,67,
104,新竹市,12,0,0,12,3,0,1,4,,,,,2,43,2,47,0,32,0,32,0,0,0,0,0,12,0,12,1,10,0,11,118,
104,新竹縣,11,0,0,11,2,0,0,2,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,
104,苗栗縣,12,0,1,13,2,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,20,
104,臺中市,70,0,5,75,20,0,0,20,,,,,0,14,0,14,0,13,0,13,2,0,0,2,0,7,1,8,0,9,0,9,141,
104,南投縣,25,0,5,30,6,0,0,6,,,,,0,3,0,3,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,49,
104,彰化縣,46,0,2,48,11,0,2,13,,,,,0,6,0,6,0,6,0,6,0,0,0,0,1,4,0,5,1,3,0,4,82,
104,雲林縣,16,0,0,16,3,0,1,4,,,,,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,42,
104,嘉義市,12,0,0,12,3,0,0,3,,,,,0,12,0,12,0,13,0,13,1,8,0,9,0,7,0,7,0,6,0,6,62,
104,嘉義縣,6,0,0,6,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
104,臺南市,39,1,1,41,20,0,0,20,,,,,0,14,0,14,1,10,0,11,3,1,0,4,0,11,0,11,4,6,0,10,111,
104,高雄市,12,0,0,12,4,0,0,4,,,,,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,33,
104,屏東縣,22,0,6,28,5,0,2,7,,,,,0,24,0,24,1,11,0,12,0,0,0,0,0,13,0,13,1,8,0,9,93,
104,臺東縣,11,0,1,12,1,0,1,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,17,
104,花蓮縣,13,1,1,15,2,1,1,4,,,,,0,17,0,17,0,8,0,8,0,0,0,0,0,3,0,3,0,9,0,9,56,
104,澎湖縣,9,0,0,9,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4,0,4,18,
104,金門縣,4,0,2,6,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
104,連江縣,0,0,0,0,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
104,總計,387,2,28,417,110,2,9,121,,,,,2,189,2,193,2,105,0,107,9,13,0,22,4,75,2,81,11,90,1,102,"1,043",
105,宜蘭縣,16,0,1,17,10,0,1,11,,,,,0,0,0,0,0,9,0,9,1,8,0,9,0,2,0,2,0,0,0,0,48,
105,基隆市,13,0,1,14,2,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,20,
105,臺北市,0,0,0,0,4,0,0,4,,,,,0,9,0,9,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,25,
105,新北市,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,桃園市,37,0,2,39,10,0,0,10,,,,,0,3,0,3,0,1,0,1,2,0,0,2,0,6,0,6,0,8,0,8,69,
105,新竹市,12,0,1,13,4,0,0,4,,,,,0,17,0,17,0,13,0,13,0,0,0,0,0,3,0,3,1,8,0,9,59,
105,新竹縣,11,0,0,11,2,0,0,2,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,
105,苗栗縣,12,0,1,13,3,0,2,5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,23,
105,臺中市,70,0,4,74,22,0,0,22,,,,,0,12,0,12,0,11,0,11,2,0,0,2,0,7,1,8,0,9,0,9,138,
105,南投縣,25,0,3,28,4,0,1,5,,,,,0,3,0,3,0,1,0,1,0,0,0,0,0,3,0,3,0,2,0,2,42,
105,彰化縣,44,0,5,49,13,0,1,14,,,,,0,5,0,5,0,5,0,5,0,0,0,0,0,5,0,5,1,3,0,4,82,
105,雲林縣,16,0,1,17,4,1,1,6,,,,,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,43,
105,嘉義市,12,0,0,12,3,0,0,3,,,,,0,12,0,12,0,13,0,13,1,7,0,8,0,6,0,6,0,7,0,7,61,
105,嘉義縣,6,0,0,6,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
105,臺南市,37,1,1,39,19,0,1,20,,,,,0,13,0,13,1,12,0,13,3,0,0,3,0,11,0,11,4,6,0,10,109,
105,高雄市,12,0,0,12,4,0,0,4,,,,,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,32,
105,屏東縣,23,0,4,27,3,0,1,4,,,,,0,24,0,24,1,10,0,11,0,0,0,0,0,12,0,12,1,8,0,9,87,
105,臺東縣,11,0,1,12,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,18,
105,花蓮縣,13,1,1,15,2,0,0,2,,,,,0,16,0,16,0,6,0,6,0,0,0,0,0,3,0,3,0,8,0,8,50,
105,澎湖縣,8,0,0,8,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,16,
105,金門縣,5,0,0,5,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
105,連江縣,0,0,0,0,1,0,1,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
105,總計,383,2,26,411,114,1,9,124,,,,,0,140,0,140,2,84,0,86,10,15,0,25,3,68,1,72,10,81,2,93,951,
106,宜蘭縣,16,0,1,17,10,0,1,11,,,,,0,0,0,0,1,8,0,9,0,9,0,9,0,2,0,2,0,0,0,0,48,
106,基隆市,13,0,1,14,2,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,20,
106,臺北市,0,0,0,0,4,0,1,5,,,,,0,16,0,16,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,33,
106,新北市,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,桃園市,37,0,4,41,10,0,2,12,,,,,0,2,0,2,0,1,0,1,2,0,0,2,0,8,0,8,0,8,0,8,74,
106,新竹市,12,0,0,12,4,0,0,4,,,,,1,22,0,23,0,11,0,11,0,0,0,0,0,0,0,0,1,7,0,8,58,
106,新竹縣,9,0,0,9,2,0,0,2,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,
106,苗栗縣,12,0,1,13,4,0,2,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,24,
106,臺中市,12,0,1,13,2,0,2,4,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
106,南投縣,26,0,2,28,4,0,1,5,,,,,0,3,0,3,0,1,0,1,0,0,0,0,0,3,0,3,0,2,0,2,42,
106,彰化縣,43,0,4,47,12,0,1,13,,,,,0,6,0,6,0,6,0,6,0,0,0,0,0,5,0,5,1,3,0,4,81,
106,雲林縣,17,0,1,18,4,0,1,5,,,,,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,38,
106,嘉義市,11,0,1,12,3,0,2,5,,,,,0,12,0,12,0,13,0,13,1,7,0,8,0,6,0,6,0,7,0,7,63,
106,嘉義縣,6,0,0,6,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
106,臺南市,38,1,1,40,20,0,0,20,,,,,0,13,0,13,1,11,0,12,3,0,0,3,1,10,0,11,4,7,0,11,110,
106,高雄市,12,0,0,12,4,0,1,5,,,,,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,1,31,
106,屏東縣,24,0,4,28,3,0,3,6,,,,,1,18,0,19,0,9,0,9,0,0,0,0,0,9,0,9,1,7,0,8,79,
106,臺東縣,11,0,2,13,2,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,20,
106,花蓮縣,13,1,1,15,4,0,0,4,,,,,0,15,0,15,0,10,0,10,0,0,0,0,0,3,0,3,0,6,0,6,53,
106,澎湖縣,8,0,0,8,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,15,
106,金門縣,5,0,1,6,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
106,連江縣,0,0,0,0,1,0,1,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
106,總計,325,2,25,352,98,0,18,116,,,,,2,129,0,131,2,73,0,75,7,16,0,23,4,56,0,60,10,66,2,78,835,
107,宜蘭縣,16,0,1,17,10,0,1,11,,,,,0,0,0,0,0,9,0,9,0,9,0,9,0,2,0,2,0,0,0,0,48,
107,基隆市,14,0,1,15,2,0,0,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,2,21,
107,臺北市,0,0,0,0,4,0,1,5,,,,,0,15,0,15,0,3,0,3,0,0,0,0,2,2,0,4,0,5,0,5,32,
107,新北市,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,桃園縣,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,新竹市,12,0,0,12,4,0,2,6,,,,,1,23,0,24,0,5,0,5,0,0,0,0,0,2,0,2,1,6,0,7,56,
107,新竹縣,8,0,2,10,2,0,0,2,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,
107,苗栗縣,12,0,1,13,5,0,1,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,24,
107,臺中市,12,0,3,15,3,0,1,4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
107,南投縣,27,0,1,28,4,0,1,5,,,,,0,3,0,3,0,1,0,1,0,0,0,0,0,3,0,3,0,2,1,3,43,
107,彰化縣,43,0,3,46,13,0,1,14,,,,,0,7,0,7,0,7,0,7,0,0,0,0,0,5,0,5,1,3,0,4,83,
107,雲林縣,17,0,1,18,4,0,2,6,,,,,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,42,
107,嘉義市,12,0,0,12,5,0,1,6,,,,,0,12,0,12,0,13,0,13,1,4,0,5,0,5,0,5,0,6,0,6,59,
107,嘉義縣,6,0,0,6,1,0,1,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
107,臺南市,40,0,2,42,18,0,6,24,,,,,0,14,0,14,1,9,0,10,3,0,0,3,1,10,0,11,4,7,0,11,115,
107,高雄市,12,0,0,12,3,0,1,4,,,,,1,7,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,32,
107,屏東縣,24,0,3,27,3,0,3,6,,,,,0,18,0,18,0,9,0,9,0,0,0,0,0,8,0,8,1,7,0,8,76,
107,臺東縣,12,0,1,13,2,0,1,3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,19,
107,花蓮縣,13,1,0,14,4,0,0,4,,,,,0,19,0,19,0,9,0,9,0,0,0,0,0,4,0,4,0,9,0,9,59,
107,澎湖縣,7,0,1,8,1,0,1,2,,,,,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,3,0,3,17,
107,金門縣,5,0,1,6,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
107,連江縣,0,0,0,0,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
107,總計,292,1,21,314,90,0,24,114,,,,,2,130,0,132,1,65,0,66,5,14,0,19,4,49,0,53,10,65,1,76,774,
